Nama Jabatan,Instansi Pengampu,Level Pemerintahan,,,,,,,,
Direktur Kompensasi Aparatur Sipil Negara,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Pengawasan dan Pengendalian,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Inspektur Utama,Tertentu (BKKBN),Pemerintah Pusat,,,,,,,,
Kepala Badan kebijakan Fiskal,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Kepala Badan Kepegawaian Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Badan Kesatuan Bangsa dan Politik,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Hukum dan Hubungan Masyarakat,Instansi Pusat - Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Keuangan,Instansi Pusat - Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Perencanaan,Instansi Pusat - Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Sumber Daya Manusia,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Umum,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Umum dan Keuangan,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Dinas Kesehatan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pemberdayaan Masyarakat dan Desa,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pendidikan dan Kebudayaan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Perindustrian, Perdagangan, Energi dan Sumber Daya Mineral",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Perkebunan dan Peternakan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Sekretaris Jenderal,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Sekretaris Utama,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Asisten Administrasi dan Kesejahteraan Masyarakat,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Asisten Administrasi Pemerintahan Umum Kesejahteraan Rakyat,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Asisten Administrasi Pengembangan Ekonomi,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Asisten Administrasi Perekonomian Pembangunan Kesejahteraan Rakyat,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Asisten Deputi Bidang Usaha Pertambangan, Industri Strategis dan media",Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Infrastruktur Pemerintahan Deputi Bidang Pengelolaan Infrastruktur Kawasan Perbatasan,Tertentu (Badan Nasional Pengelola Perbatasan),Pemerintah Pusat,,,,,,,,
Asisten Deputi Investasi Bidang Jasa,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Kerja Sama Investasi Pemerintah Dan Badan Usaha,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengelolaan Perubahan Iklim dan Kebencanaan,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengelolaan Ruang Laut Dan Pesisir,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengelolaan Sampah Dan Limbah,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengembangan Ekonomi Kreatif,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengembangan Perikanan Budidaya,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pertambangan,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Planologi Kehutanan dan Tata Lingkungan,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Strategi Dan Kebijakan Percepatan Investasi,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Kesejahteraan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Asisten Perekonomian dan Pembangunan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Deputi Bidang Administrasi,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Deputi Bidang Koordinasi Pariwisata dan Ekonomi Kreatif,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Deputi Bidang Koordinasi Pengelolaan Lingkungan dan Kehutanan,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Deputi Bidang Pengkajian dan Penginderaan,Tertentu (Dewan Ketahanan Nasional dan Sekretariat Jenderal Dewan Ketahanan nasional),Pemerintah Pusat,,,,,,,,
Deputi Bidang Penindakan,Tertentu (BPOM),Pemerintah Pusat,,,,,,,,
Deputi Gubernur Bidang Pengendalian Kependudukan dan Permukiman,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Deputi Gubernur Bidang Budaya dan Pariwisata,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Direktur Arsip Kepegawaian,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Asia Selatan dan Tengah,Tertentu (Kemenlu),Pemerintah Pusat,,,,,,,,
Direktur Bina Ketahanan Keluarga Lansia dan Rentan,Tertentu (BKKBN),Pemerintah Pusat,,,,,,,,
Direktur Fasilitasi Keuangan dan Aset Pemerintahan Desa,Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
"Direktur Gizi Masyarakat, Direktorat Jenderal Kesehatan Masyarakat",Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Intelijen Obat dan Makanan,Tertentu (BPOM),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Hubungan Hukum Keagrariaan,Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Otonomi Daerah,Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Pendidikan Anak Usia Dini dan Pendidikan Dasar dan Pendidikan menengah,Tertentu (Kementerian Pendidikan dan Kebudayaan),Pemerintah Pusat,,,,,,,,
"Direktur Kawasan, Perkotaan dan Batas Negara",Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
Direktur Keuangan dan Umum Rumah Sakit Umum Pusat,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Keuangan Rumah Sakit,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Direktur Optimalisasi Jaringan Logistik dan Peralatan,Tertentu (Badan Nasional Penanggulangan Bencana),Pemerintah Pusat,,,,,,,,
"Direktur Pelayanan Medik, Keperawatan dan Penunjang Rumah Sakit Umum Pusat",Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Pendidikan Tinggi,Tertentu (Kementerian Pendidikan dan Kebudayaan),Pemerintah Pusat,,,,,,,,
"Direktur Pengaturan dan Pendaftaran Hak Tanah, Ruang dan PPAT",Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
"Direktur Pengawasan dan Pengendalian Bidang Formasi, Pengadaan dan Pasca Diklat",Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Pasar Dalam Negeri,Tertentu (Kementerian Perdagangan),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Produk Eskpor,Tertentu (Kementerian Perdagangan),Pemerintah Pusat,,,,,,,,
Direktur Pensiun Pegawai Negeri Sipil dan Pejabat Negara,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
"Direktur Perencanaan, Keuangan, dan Barang Milik Negara Rumah Sakit Jiwa",Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur RSUD,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Direktur Sekolah Dinas Luar Negeri (Sekdilu),Tertentu (Kemenlu),Pemerintah Pusat,,,,,,,,
"Direktur Sumber Daya Manusia, Pendidikan, dan Penelitian Rumah Sakit Umum",Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
"Direktur Sumber Daya Manusia, Pendidikan, dan Umum Rumah Sakit Jiwa",Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Survei dan Pemetaan Tematik,Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
Direktur Toponimi dan Batas Daerah,Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
Direktur Umum dan Operasional Rumah Sakit Umum Pusat,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
"Direktur Umum, Sumber Daya Manusia dan Pendidikan Rumah Sakit Umum Pusat",Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Urusan Agama Katolik,Tertentu (Kementerian Agama),Pemerintah Pusat,,,,,,,,
Direktur Utama Rumah Sakit Umum Pusat,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Inspektur Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Inspektur Inspektorat Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Inspektur Khusus,Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
Kepala Badan / Pelaksana Badan Penanggulangan Bencana Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Badan Kepegawaian dan Pengembangan Sumber Daya Manusia,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Badan Kepegawaian, Pendidikan dan Pelatihan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Badan Keuangan Daerah dan Aset Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Badan Penelitian dan Pengembangan Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Badan Pengelola Perbatasan Daerah,Instansi Daerah,Pemerintah Pusat,,,,,,,,
Kepala Badan Pengelolaan Keuangan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Badan Pengelolaan Keuangan dan Pendapatan Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Badan Perencanaan dan Pembangunan Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Badan Perencanaan, Penelitian dan Pengembangan Daerah",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Badan Pusat Statistik,Tertentu (Badan Pusat Statistik),Pemerintah Pusat,,,,,,,,
Kepala Badan/Pusat Kepegawaian Daerah dan Pengembangan Sumber Daya Manusia,Instansi Daerah,Pemerintah Pusat,,,,,,,,
Kepala Balai Besar Logam dan Mesin,Tertentu (Kementerian Perindustrian),Pemerintah Pusat,,,,,,,,
Kepala Balai Besar Meteorologi Klimatologi dan Geofisika,Tertentu (BMKG),Pemerintah Pusat,,,,,,,,
Kepala Balai Besar Pelatihan Kesehatan,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Kepala Balai Besar Pemerintahan Desa,Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
Kepala Balai Besar POM,Tertentu (BPOM),Pemerintah Pusat,,,,,,,,
"Kepala Biro Administrasi Akademik, Kemahasiswaan, Perencanaan dan Sistem Informasi",Tertentu (Kemenristekdikti),Pemerintah Pusat,,,,,,,,
Kepala Biro Administrasi Kerjasama,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Administrasi Perekonomian,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Administrasi Pimpinan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Administrasi Umum dan Keuangan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Akademik Kemahasiswaan dan Kerjasama,Tertentu (Kemenristekdikti),Pemerintah Pusat,,,,,,,,
Kepala Biro Badan Usaha Milik Daerah Dan Investasi,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Bina Perekonomian,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Hubungan Masyarakat,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Hukum,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Hukum dan Kepegawaian,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Biro Hukum, Organisasi, Kerjasama dan Humas",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Kerja Sama Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Kesejahteraan Rakyat,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Keuangan dan Barang Milik Negara (BMN),Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
Kepala Biro Komunikasi,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
"Kepala Biro Komunikasi, Layanan Informasi dan Persidangan",Tertentu (Kementerian Koordinator Bidang Perekonomian),Pemerintah Pusat,,,,,,,,
Kepala Biro Organisasi,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Pelayanan dan Pengembangan Sosial,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Pemerintahan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Pemerintahan Dan Kerjasama,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Penataan Kota dan Lingkungan Hidup,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Pengadaan Barang dan Jasa,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Pengawasan Pasar Berjangka dan Fisik,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Perekonomian,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Perencanaan dan Keuangan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Sistem Informasi dan Dokumentasi,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Sumber Daya Manusia dan Umum,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Tata Pemerintahan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Umum dan Layanan Pengadaan,Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
Kepala Biro Umum Keuangan Kepegawaian,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Dinas Perikanan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Kearsipan dan Perpustakaan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Kebudayaan dan Pariwisata,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Kebudayaan, Kepemudaan dan Olahraga",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Kelautan Perikanan Peternakan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Keluarga Berencana, Pemberdayaan Perempuan dan Perlindungan Anak",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Kepemudaan dan Olahraga,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Kependudukan Dan Pencacatan Sipil,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Kesatuan Bangsa Dan Politik,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Kesehatan dan Keluarga Berencana,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Kesehatan, Pengendalian Penduduk dan Keluarga Berencana",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Ketahanan Pangan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Ketahanan Pangan dan Perikanan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Ketahanan Pangan dan Pertanian,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Ketahanan Pangan dan Peternakan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Ketahanan Pangan, Tanaman Pangan dan Hortikultura",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Ketenagakerjaan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Komunikasi Informatika Statistik Persandian,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Komunikasi, Informatika, dan Statistik",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Koperasi dan Usaha Mikro,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Koperasi, Perindustrian dan Perdagangan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Koperasi, UKM, Tenaga Kerja dan Transmigrasi",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Koperasi, Usaha Kecil Menengah dan Perdagangan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Koperasi, Usaha Kecil Menengah dan Perindustrian",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Lingkungan Hidup,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Pangan, Pertanian dan Perikanan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pariwisata dan Kebudayaan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pekerjaan Umum,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pekerjaan Umum dan Penataan Ruang,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pekerjaan Umum dan Perumahan Rakyat,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pekerjaan umum dan Tata Ruang,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Pekerjaan Umum, Perumahan dan Kawasan Pemukiman",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pemadam Kebakaran Dan Penyelamatan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Pemberdayaan Masyarakat, Perempuan dan Keluarga Berencana",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pemberdayaan Perempuan dan Perlindungan Anak,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Pemberdayaan Perempuan dan Perlindungan Anak, Pengendalian Penduduk dan Keluarga Berencana",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Pemuda, Olah Raga dan Pariwisata",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Penanaman Modal dan Pelayanan Perizinan Terpadu Satu Pintu (Ketenagakerjaan),Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Transmigrasi dan Tenaga Kerja,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pendidikan Pemuda dan Olah Raga,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pengendalian Penduduk dan Keluarga Berencana,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pengendalian Penduduk dan Keluarga Berencana dan Pemberdayaan Masyarakat dan Desa,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Pengendalian Penduduk, Keluarga Berencana, Pemberdayaan Perempuan dan Perlindungan Anak",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pengendalian Pendudukan dan Keluarga Berencana,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Perdagangan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Perdagangan dan Perindustrian,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Perdagangan Perindustrian, Koperasi, Usaha Kecil dan Menengah",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Perdagangan, Koperasi, Usaha Kecil dan Menengah",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Perdagangan, Perindustrian, Koperasi dan Usaha Kecil Menengah",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Perhubungan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Perindustrian Perdagangan Koperasi dan UMKM,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Perindustrian, Perdagangan dan Tenaga Kerja",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Perkebunan, Peternakan dan Kesehatan Hewan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Perpustakaan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Perpustakaan dan Kearsipan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pertanahan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pertanahan dan Penataan Ruang,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pertanian,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pertanian dan Pangan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pertanian dan Perikanan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pertanian dan Perkebunan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pertanian Pangan dan Perikanan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Pertanian, Perkebunan dan Peternakan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Perumahan dan Kawasan Permukiman dan Pertanahan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Perumahan dan Kawasan Permukiman dan Sumber Daya Air Bina Marga Bina Konstruksi Pekerjaan Umum Tata Ruang,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Perumahan Rakyat, Kawasan Permukiman dan Lingkungan Hidup",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Perumahan, Kawasan Pemukiman dan Pertanahan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Peternakan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Peternakan dan Kesehatan Hewan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Sosial,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Sosial Pengendalian Penduduk, Keluarga Berencana, Pemberdayaan Perempuan dan Perlindungan Anak",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Sosial, Pemberdayaan Masyarakat dan Desa",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Tanaman Pangan dan Holtikultura,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Tanaman Pangan, Holtikultura dan Perkebunan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Tenaga Kerja,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Transmigrasi dan Tenaga Kerja,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Kantor Wilayah Badan Pertanahan Nasional,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Kantor Wilayah Kementerian Agama Provinsi,Tertentu (Kementerian Agama),Pemerintah Pusat,,,,,,,,
Kepala Perwakilan Badan Kependudukan dan Keluarga Berencana Nasional,Tertentu (BKKBN),Pemerintah Pusat,,,,,,,,
Kepala Pusat Data dan Informasi,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Pusat Kajian Daerah dan Anggaran,Instansi Pusat,Pemerintah Pusat,,,,,,,,
"Kepala Pusat Krisis Kesehatan, Sekretariat Jenderal",Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pendidikan dan Pelatihan Penanggulangan Bencana,Tertentu (Badan Nasional Penanggulangan Bencana),Pemerintah Pusat,,,,,,,,
Kepala Pusat Penelitian Biologi,Tertentu (Lembaga Ilmu Pengetahuan Indonesia),Pemerintah Pusat,,,,,,,,
Kepala Pusat Penelitian Biomaterial,Tertentu (Lembaga Ilmu Pengetahuan Indonesia),Pemerintah Pusat,,,,,,,,
Kepala Pusat Penelitian Bioteknologi,Tertentu (Lembaga Ilmu Pengetahuan Indonesia),Pemerintah Pusat,,,,,,,,
Kepala Pusat Penelitian dan Pengembangan Inovasi Daerah,Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
Kepala Pusat Penelitian Konservasi Tumbuhan dan Kebun Raya,Tertentu (Lembaga Ilmu Pengetahuan Indonesia),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pengkajian dan Pengembangan Kebijakan Kawasan Asia Pasifik dan Afrika,Tertentu (Kemenlu),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pengkajian dan Pengembangan Kebijakan Multilateral,Tertentu (Kemenlu),Pemerintah Pusat,,,,,,,,
Kepala Pusat Peningkatan Mutu Sumber Daya Manusia Kesehatan,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Perencanaan Kepegawaian dan Formasi,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Kepala Satuan Pengawas Intern,Instansi Daerah,Pemerintah Daerah,,,,,,,,
