Nama Jabatan,Instansi Pengampu,Level Pemerintahan,,,,,,,,
Kepala Satuan Polisi Pamong Praja,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Unsur Pelaksana Badan Penanggulangan Bencana Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala UPT Perpustakaan,Tertentu (Perpusnas),Pemerintah Pusat,,,,,,,,
Kepala/Wakil Badan Pendapatan Daerah (Pajak dan Retribusi Daerah),Instansi Daerah,Pemerintah Daerah,,,,,,,,
Sekretaris Badan Pengkajian dan Pengembangan Kebijakan,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Sekretaris Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Sekretaris Deputi Bidang Koordinasi Infrastruktur Dan Transportasi,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Sekretaris Deputi Bidang Koordinasi Pariwisata Dan Ekonomi Kreatif,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Sekretaris Deputi Bidang Koordinasi Pengelolaan Lingkungan Dan Kehutanan,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Sekretaris Dewan Perwakilan Rakyat Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Sekretaris Direktorat Jenderal Hubungan Hukum Keagrariaan,Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
Sekretaris Direktorat Jenderal Infrastruktur Keagrariaan,Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
Sekretaris Direktorat Jenderal Pengendalian Pemanfaatan Ruang dan Penguasaan Tanah,Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
"Staf Ahli Bidang Ekonomi, Pembangunan dan Keuangan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Staf Ahli Bidang Kemasyarakatan dan Sumber Daya Manusia,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Staf Ahli Bidang Pembangunan Ekonomi dan Keuangan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Staf Ahli Bidang Ekonomi, Keuangan dan Pembangunan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Staf Ahli Bidang Ekonomi, Pembangunan, Kemasyarakatan, Keuangan, Administrasi",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Staf Ahli Bidang Hukum dan Pemerintahan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Staf Ahli Bidang Hukum, Politik dan Pemerintahan, Kesejahteraan Rakyat",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Staf Ahli Bidang Hukum, Politik Pemerintahan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Staf Ahli Bidang Industri,Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Staf Ahli Bidang Kemasyarakatan dan Sumber Daya Manusia,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Staf Ahli Bidang Ketatalaksanaan dan Keuangan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Staf Ahli Bidang Landreform dan Hak Masyarakat Atas Tanah,Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
Staf Ahli Bidang Manajemen Konektivitas,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Staf Ahli Bidang Pembangunan dan Kesejahteraan Rakyat,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Staf Ahli Bidang Pembangunan, Ekonomi dan Keuangan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Staf Ahli Bidang Pembangunan, Kemasyarakatan dan Sumber Daya Manusia",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Staf Ahli Bidang Pemerintah, Sosial dan Kemasyarakatan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Staf Ahli Bidang Pemerintahan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Staf Ahli Bidang Pemerintahan dan Hukum,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Staf Ahli Bidang Pemerintahan, Hukum dan Politik",Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Staf Ahli Bidang Perekonomian, Keuangan dan Pembangunan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Staf Ahli Bidang Sosial Budaya,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Staf Ahli Bidang Sosial Budaya dan Kemasyarakatan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Staf Ahli Ekonomi, Pembangunan dan Keuangan",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Staf Ahli Menteri Bidang Penguatan Kemampuan Industri Dalam Negeri,Tertentu (Kementerian Perindustrian),Pemerintah Pusat,,,,,,,,
Stah Ahli Bidang Kesejahteraan Rakyat dan Sumber Daya Manusia,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Asisten Deputi Bidang Industri Energi Minyak dan Gas,Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Bidang Industri Kesehatan,Tertentu (Kementerian Badan Usaha Milik Negara),Pemerintah Pusat,,,,,,,,
Asisten Deputi Bidang Industri Manufaktur,Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Bidang Industri Mineral dan Batu Bara,Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Bidang Industri Pangan dan Pupuk,Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Bidang Industri Perkebunan dan Kehutanan,Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Bidang Jasa Asuransi dan Dana Pensiun,Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Bidang Jasa Infrastruktur,Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Bidang Jasa Keuangan,Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Bidang Jasa Logistik,Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Bidang Jasa Pariwisata dan Pendukung,Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Bidang Jasa Telekomunikasi dan Media,Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Ekonomi dan Keuangan,Tertentu (Setwapres),Pemerintah Pusat,,,,,,,,
Asisten Deputi Hubungan Lembaga Negara dan Lembaga Masyarakat,Tertentu (Kementerian Sekretariat Negara),Pemerintah Pusat,,,,,,,,
Asisten Deputi Hubungan Luar Negeri,Tertentu (Kementerian Sekretariat Negara),Pemerintah Pusat,,,,,,,,
"Asisten Deputi Industri, Perdagangan, Pariwisata, dan Ekonomi Kreatif",Tertentu (Kementerian Sekretariat Negara),Pemerintah Pusat,,,,,,,,
"Asisten Deputi Infrastruktur, Ketahanan Energi, dan Sumber Daya Alam",Tertentu (Kementerian Sekretariat Negara),Pemerintah Pusat,,,,,,,,
Asisten Deputi Kelembagaan dan Tata Laksana Pembangunan Manusia dan Kebudayaan,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
"Asisten Deputi Kelembagaan dan Tata Laksana Perekonomian, Kemaritiman dan Investasi",Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
"Asisten Deputi Kelembagaan dan Tata Laksana Politik, Hukum, dan Keamanan dan Pemerintah Daerah",Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Koordinasi dan Fasilitasi Strategi Pengembangan Praktik Terbaik Pelayanan Publik,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Koordinasi Pelaksanaan Kebijakan dan Evaluasi Reformasi Birokrasi Akuntabilitas Aparatur dan Pengawasan,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Manajemen Talenta dan Peningkatan Kapasitas Sumber Daya Manusia Aparatur,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pemberdayaan Partisipasi Masyarakat,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pembiayaan dan Investasi Usaha Kecil Menengah,Tertentu (Kementerian Koperasi Dan Usaha Kecil Dan Menengah),Pemerintah Pusat,,,,,,,,
"Asisten Deputi Pemetaan Data,  Analisis dan Pengkajian  Usaha",Tertentu (Kementerian Koperasi Dan Usaha Kecil Dan Menengah),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengaduan Masyarakat,Tertentu (Kementerian Sekretariat Negara),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengembangan dan Pembaruan Koperasi,Tertentu (Kementerian Koperasi Dan Usaha Kecil Dan Menengah),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengembangan Kawasan dan Rantai Pasok Usaha Kecil Menengah,Tertentu (Kementerian Koperasi Dan Usaha Kecil Dan Menengah),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengembangan Teknologi Informasi Usaha dan Inkubasi Wirausaha,Tertentu (Kementerian Koperasi Dan Usaha Kecil Dan Menengah),Pemerintah Pusat,,,,,,,,
Asisten Deputi Penguatan Budaya Kerja Sumber Daya Manusia Aparatur,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Peningkatan Kinerja dan Sistem Penghargaan Sumber Daya Manusia Aparatur,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
"Asisten Deputi Perancangan Jabatan, Perencanaan, dan Pengadaan Sumber Daya Manusia Aparatur",Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Percepatan Transformasi Digital Manajemen Aparatur Sipil Negara,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Perekonomian,Tertentu (Kementerian Sekretariat Negara),Pemerintah Pusat,,,,,,,,
Asisten Deputi Perlindungan dan Kemudahan Usaha Mikro,Tertentu (Kementerian Koperasi Dan Usaha Kecil Dan Menengah),Pemerintah Pusat,,,,,,,,
Asisten Deputi Perumusan dan Koordinasi Kebijakan Penerapan Akuntabilitas Aparatur dan Pengawasan,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Perumusan dan Koordinasi Kebijakan Penerapan Reformasi Birokrasi,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Perumusan Kebijakan dan Koordinasi Penerapan Sistem Pemerintahan Berbasis Elektronik,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Perumusan Kebijakan Sistem Kelembagaan dan Tata Laksana,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Perumusan Sistem dan Strategi Kebijakan Pelayanan Publik,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
"Asisten Deputi Politik, Hukum dan Otonomi Daerah ",Tertentu (Kementerian Sekretariat Negara),Pemerintah Pusat,,,,,,,,
"Asisten Deputi Politik, Hukum, dan Keamanan",Tertentu (Kementerian Sekretariat Negara),Pemerintah Pusat,,,,,,,,
Asisten Deputi Sistem Transformasi Digital Pelayanan Publik,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Strandardisasi Pelayanan Publik dan Pelayanan Inklusif,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Tata Kelola Pemerintahan,Tertentu (Kementerian Sekretariat Negara),Pemerintah Pusat,,,,,,,,
Asisten Deputi Wawasan Kebangsaan dan Pertahanan Keamanan ,Tertentu (Kementerian Sekretariat Negara),Pemerintah Pusat,,,,,,,,
Badan Penelitian dan Pengembangan,Instansi Pusat - Daerah,Pemerintah Daerah,,,,,,,,
Deputi Bidang Ekonomi Digital dan Produk Kreatif,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Deputi Bidang Hukum dan Penyelesaian Sanggah,Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Deputi Bidang Industri dan Investasi,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Deputi Bidang Informasi Geospasial Tematik,Tertentu (Badan Informasi Geospasial),Pemerintah Pusat,,,,,,,,
Deputi Bidang Keamanan Siber dan Sandi Pemerintahan dan Pembangunan Manusia,Tertentu (Badan Siber Dan Sandi Negara),Pemerintah Pusat,,,,,,,,
Deputi Bidang Keamanan Siber dan Sandi Perekonomian,Tertentu (Badan Siber Dan Sandi Negara),Pemerintah Pusat,,,,,,,,
Deputi Bidang Kelembagaan dan Tata Laksana,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
"Deputi Bidang Monitoring, Evaluasi dan Pengembangan Sistem Informasi",Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Deputi Bidang Pelayanan Publik,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Deputi Bidang Pemasaran,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Deputi Bidang Pengembangan dan Pembinaan Sumber Daya Manusia,Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Deputi Bidang Pengembangan Destinasi dan Infrastruktur,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Deputi Bidang Pengembangan Strategi dan Kebijakan,Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Deputi Bidang Produk Wisata dan Penyelenggara Kegiatan (Events),Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
"Deputi Bidang Reformasi Birokrasi, Akuntabilitas Aparatur dan Pengawasan",Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Deputi Bidang Sumber Daya dan Kelembagaan,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Deputi Bidang Sumber Daya Manusia Aparatur,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Deputi Pencegahan,Tertentu (Badan Narkotika Nasional),Pemerintah Pusat,,,,,,,,
Deputi Penempatan dan Pelindungan Pekerja Migran Indonesia,Tertentu (Badan Pelindungan Pekerja Migran Indonesia),Pemerintah Pusat,,,,,,,,
Direktorat Jenderal Rehabilitasi Sosial,Tertentu (Kementerian Sosial),Pemerintah Pusat,,,,,,,,
Direktur  Kepatuhan Internal dan Transformasi Sumber Daya Aparatur,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Advokasi,Tertentu (Badan Narkotika Nasional),Pemerintah Pusat,,,,,,,,
Direktur Advokasi Pemerintah Daerah,Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Direktur Advokasi Pemerintah Pusat,Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Direktur Air Tanah dan Air Baku,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Direktur Akses Pembiayaan,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Akuntansi dan Pelaporan Keuangan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
"Direktur Aplikasi, Permainan, TV, dan Radio",Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Arsip Kepegawaian,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Bendungan dan Danau,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Direktur Bina Haji,Tertentu (Kementerian Agama),Pemerintah Pusat,,,,,,,,
Direktur Bina Operasi dan Pemeliharaan,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Direktur Bina Teknik Sumber Daya Air,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Direktur Dana Transfer Khusus,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Dana Transfer Umum,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Data dan Informasi Perpajakan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Ekstensifikasi dan Penilaian,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Event Daerah,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Event Nasional dan Internasional,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Fasilitas dan Jasa,Tertentu (Kementerian Pertahanan),Pemerintah Pusat,,,,,,,,
Direktur Fasilitas Kepabeanan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Fasilitas Pelayanan Kesehatan,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Fasilitasi Kekayaan Intelektual,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Gizi Masyarakat,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Hubungan Antarlembaga,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Hukum dan Perjanjian Ekonomi,Tertentu (Kementerian Luar Negeri),Pemerintah Pusat,,,,,,,,
Direktur Hukum dan Perjanjian Kewilayahan,Tertentu (Kementerian Luar Negeri),Pemerintah Pusat,,,,,,,,
Direktur Hukum dan Perjanjian Politik dan Keamanan,Tertentu (Kementerian Luar Negeri),Pemerintah Pusat,,,,,,,,
Direktur Hukum dan Perjanjian Sosial Budaya,Tertentu (Kementerian Luar Negeri),Pemerintah Pusat,,,,,,,,
Direktur Informasi dan Edukasi,Tertentu (Badan Narkotika Nasional),Pemerintah Pusat,,,,,,,,
Direktur Infrastruktur Ekonomi Kreatif,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Infrastruktur Teknologi Informasi,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Intelijen Perpajakan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Irigasi dan Rawa,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Direktur Jabatan Aparatur Sipil Negara,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Anggaran,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Bea dan Cukai,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Direktorat Jenderal Kefarmasian dan Alat Kesehatan,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Hukum dan Perjanjian Internasional,Tertentu (Kementerian Luar Negeri),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Kekayaan Negara,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Kesehatan Masyarakat,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Pajak,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Pencegahan Dan Pengendalian Penyakit,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Pengawasan Sumber Daya Kelautan dan Perikanan,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Pengelolaan Pembiayaan dan Risiko,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Penguatan Daya Saing Produk Kelautan dan Perikanan,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Perbendaharaan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Perikanan Budidaya,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Perikanan Tangkap,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Perimbangan Keuangan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Tenaga Kesehatan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Kapal Perikanan dan Alat Penangkap Ikan ,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Kawasan dan Kesehatan Ikan,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Keamanan Siber dan Sandi Energi dan Sumber Daya Alam,Tertentu (Badan Siber Dan Sandi Negara),Pemerintah Pusat,,,,,,,,
Direktur Keamanan Siber dan Sandi Industri,Tertentu (Badan Siber Dan Sandi Negara),Pemerintah Pusat,,,,,,,,
"Direktur Keamanan Siber dan Sandi Keuangan, Perdagangan dan Pariwisata",Tertentu (Badan Siber Dan Sandi Negara),Pemerintah Pusat,,,,,,,,
Direktur Keamanan Siber dan Sandi Pembangunan Manusia,Tertentu (Badan Siber Dan Sandi Negara),Pemerintah Pusat,,,,,,,,
Direktur Keamanan Siber dan Sandi Pemerintah Daerah,Tertentu (Badan Siber Dan Sandi Negara),Pemerintah Pusat,,,,,,,,
Direktur Keamanan Siber dan Sandi Pemerintah Pusat,Tertentu (Badan Siber Dan Sandi Negara),Pemerintah Pusat,,,,,,,,
"Direktur Keamanan Siber dan Sandi Teknologi Informasi dan Komunikasi, Media dan Transportasi",Tertentu (Badan Siber Dan Sandi Negara),Pemerintah Pusat,,,,,,,,
Direktur Keberatan dan Banding,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Kebijakan Analisa Lingkungan Strategis,Tertentu (Kementerian Pertahanan),Pemerintah Pusat,,,,,,,,
Direktur Kebijakan Sumber Daya Manusia Keamanan Siber dan Sandi,Tertentu (Badan Siber Dan Sandi Negara),Pemerintah Pusat,,,,,,,,
Direktur Kekayaan Negara Dipisahkan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Kepatuhan Intern,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Direktur Kepelabuhan Perikanan,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Kesehatan ,Instansi Pusat,Pemerintah Pusat,,,,,,,,
"Direktur Ketenagalistrikan, Telekomunikasi dan Informatika",Tertentu (Kementerian Ppn/Bappenas),Pemerintah Pusat,,,,,,,,
Direktur Kinerja Aparatur Sipil Negara,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Komunikasi Pemasaran,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
"Direktur Kuliner, Kriya, Desain, dan Fesyen",Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Lelang,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Logistik,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Manajemen Industri,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Manajemen Investasi,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
"Direktur Musik, Film, dan Animasi",Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
