Bidang,Kelompok jabatan,Nama Jabatan,Jenis Jabatan,,,
Infrastruktur,Tata kota dan lalu lintas,Perencana Khusus Kota,Future Jobs,,,
Infrastruktur,Tata kota dan lalu lintas,Perencana Khusus Kawasan,Future Jobs,,,
Infrastruktur,Tata kota dan lalu lintas,Analis Kewilayahan,Future Jobs,,,
Infrastruktur,Tata kota dan lalu lintas,Analis Proyek,Future Jobs,,,
Infrastruktur,Tata kota dan lalu lintas,Ahli Perencana Kota dan Kawasan Tematik,Future Jobs,,,
Infrastruktur,Tata kota dan lalu lintas,Integrated Urban Transportation Specialist,Future Jobs,,,
Infrastruktur,Wilayah adat,Ahli Etnografi/Ahli Etnologi,Future Jobs,,,
Ketenagalistrikan,Teknisi Teknis Listrik,Operator Mesin Produksi Tenaga Listrik,Future Jobs,,,
Ketenagalistrikan,Teknisi Teknis Listrik,Teknisi Teknik Listrik,Future Jobs,,,
Ketenagalistrikan,Teknisi Teknis Listrik,Teknisi Teknik Transmisi Tenaga Listrik,Future Jobs,,,
Media/,Komunikasi,Tenaga publikasi media,Future Jobs,,,
Komunikasi,Komunikasi,Analis Media Sosial/Komunikasi Publik,Future Jobs,,,
Komunikasi,Komunikasi,Kepala Bagian Intelijen Media Sosial,Future Jobs,,,
Teknologi Informasi,Informatika,AI/Spesialis Robotik,Future Jobs,,,
Teknologi Informasi,Informatika,Data Scientist,Future Jobs,,,
Teknologi Informasi,Informatika,Software Engineering,Future Jobs,,,
Teknologi Informasi,Informatika,Manajer Layanan Teknologi Informasi Dan Komunikasi,Future Jobs,,,
Teknologi Informasi,Informatika,Programmer/Pengembang perangkat lunak,Future Jobs,,,
Teknologi Informasi,Informatika,Pengawas IT,Future Jobs,,,
Teknologi Informasi,Informatika,Perencana IT,Future Jobs,,,
Teknologi Informasi,Informatika,Analis Data Pengawasan,Future Jobs,,,
Teknologi Informasi,Informatika,Analis Teknologi Informasi,Future Jobs,,,
Teknologi Informasi,Informatika,Spesialis Forensik Digital,Future Jobs,,,
Teknologi Informasi,Informatika,Analis Kebijakan dan Standarisasi IT,Future Jobs,,,
Teknologi Informasi,Informatika,Pengelola IT,Future Jobs,,,
Teknologi Informasi,Informatika,Analis Pembangunan dan Pengawasan IT,Future Jobs,,,
Teknologi Informasi,Informatika,Big data analyst,Future Jobs,,,
Kelautan dan Perikanan,Keamanan laut,Analis keamanan laut,Future Jobs,,,
Kelautan dan Perikanan,Keamanan laut,Perencana dan pemanfaatan ruang laut,Future Jobs,,,
Kelautan dan Perikanan,Keamanan laut,Ahli Teknik Konstruksi Kapal,Future Jobs,,,
Kelautan dan Perikanan,Keamanan laut,Polisi Khusus Wilayah Pesisir dan Pulau-pulau Kecil,Future Jobs,,,
,Perikanan,Inspektur Kapal Perikanan,Future Jobs,,,
,Perikanan,Shipping and Port Management Specialist,Future Jobs,,,
Lingkungan hidup,Teknik Lingkungan ,Ahli Teknik Lingkungan,Future Jobs,,,
Lingkungan hidup,Teknik Lingkungan ,Auditor Lingkungan,Future Jobs,,,
Lingkungan hidup,Teknik Lingkungan ,Analis Lingkungan,Future Jobs,,,
Lingkungan hidup,Teknik Lingkungan ,Ahli Klimatologi,Future Jobs,,,
Lingkungan hidup,Teknik Lingkungan ,Ahli Prakiraan Cuaca,Future Jobs,,,
Lingkungan hidup,Teknik Lingkungan ,Ahli Hidrometeorologi,Future Jobs,,,
Lingkungan hidup,Teknik Lingkungan ,Ahli Ekologi,Future Jobs,,,
Lingkungan hidup,Teknik Lingkungan ,Analis Polusi Udara,Future Jobs,,,
Lingkungan hidup,Teknik Lingkungan ,Ahli Konservasi,Future Jobs,,,
Kesehatan,Medis,Ahli Biokimia,Future Jobs,,,
Kesehatan,Medis,Ahli Patologis Medis,Future Jobs,,,
Kesehatan,Medis,Ahli Farmakologi,Future Jobs,,,
Industri/koperasi,Industri,Analis Assesment Industri Pertahanan ,Future Jobs,,,
Industri/koperasi,Industri,Pengawas Jaminan Produk Halal,Future Jobs,,,
Industri/koperasi,Industri,Manajer Hubungan industrial,Future Jobs,,,
Industri/koperasi,Industri,Pengawas jaminan produk halal,Future Jobs,,,
Industri/koperasi,Industri,Manajer hubungan industrial,Future Jobs,,,
Industri/koperasi,Industri,Analis assesment industri pertahanan,Future Jobs,,,
Organisasi/Tata Kelola,Kelembagaan,Analis Organisasi dan Metode,Future Jobs,,,
Organisasi/Tata Kelola,Kelembagaan,Analis Reformasi Birokrasi,Future Jobs,,,
Organisasi/Tata Kelola,Kelembagaan,Analisis Pengaduan Masyarakat,Future Jobs,,,
Sosial,Perlindungan anak dan perempuan,Penata Kesejahteraan Perempuan,Future Jobs,,,
Sosial,Perlindungan anak dan perempuan,"Konselor Perempuan, Anak, dan Remaja",Future Jobs,,,
Sosial,Difabel ,Juru Bahasa Isyarat,Future Jobs,,,
Sosial,Difabel ,Ahli Jaminan Sosial ,Future Jobs,,,
Energi,Energi panas bumi,Ahli Energi Baru Terbarukan,Future Jobs,,,
Energi,Energi panas bumi,Teknisi Teknik Perminyakan,Future Jobs,,,
Energi,Energi panas bumi,Ahli Teknik Produksi Migas,Future Jobs,,,
Energi,Energi panas bumi,Ahli Teknik Pengolahan Migas Ahli Teknik,Future Jobs,,,
Energi,Energi panas bumi,Ahli Teknik Instrumentasi Kilang,Future Jobs,,,
Energi,Energi panas bumi,Ahli Teknik Mesin Kilang,Future Jobs,,,
Energi,Energi panas bumi,Ahli Logistik Migas,Future Jobs,,,
Keuangan,Keuangan,Ahli Ekonomi Perkotaan,Future Jobs,,,
Pertahanan,Pertahanan,"Analis Hukum, Perjanjian, dan Kejahatan Transnational",Future Jobs,,,
Pertahanan,Pertahanan,Ahli Teknik Pesawat Udara,Future Jobs,,,
Pertahanan,Pertahanan,Ahli Teknik Navigasi Udara,Future Jobs,,,
Pertahanan,Pertahanan,Ahli Teknik Listrik Bandara,Future Jobs,,,
Pertahanan,Pertahanan,Ahli Lalu Lintas Udara,Future Jobs,,,
Pertahanan,Pertahanan,Ahli Teknologi Rekayasa Bandar Udara,Future Jobs,,,
Pendidikan,Mutu pendidikan,Analis Penjamin Mutu Pendidikan Keagamaan,Future Jobs,,,
Tenaga Nuklir,Nuklir medis,Ahli Fisika Medis,Future Jobs,,,
Tenaga Nuklir,Keamanan Nuklir,Ahli Keamanan Sumber Radioaktif,Future Jobs,,,
Tenaga Nuklir,Keamanan Nuklir,Auditor Teknis Bidang Nuklir,Future Jobs,,,
Tenaga Nuklir,Keamanan Nuklir,Direktur Keamanan dan Kesiapsiagaan Nuklir,Future Jobs,,,
Tenaga Nuklir,Keamanan Nuklir,Dekomisioning IN,Future Jobs,,,
Pertambangan,Pertambangan,Ahli Geologi Pertambangan,Future Jobs,,,
Pertambangan,Pertambangan,Manajer Pertambangan Dan Penggalian,Future Jobs,,,